src_ip,dest_ip,src_port,dest_port,protocol,duration,packet_count,byte_count,is_malicious
13.111.211.64,148.4.61.19,22887,24794,ICMP,33.76,124,24398,1
184.146.21.132,7.220.148.66,59683,12510,ICMP,59.87,543,85504,1
12.131.116.32,124.90.31.6,43044,64967,ICMP,36.36,291,32913,0
229.48.78.140,59.148.7.49,13242,3967,TCP,49.92,236,93450,0
233.161.161.192,93.70.89.176,49322,23374,TCP,6.67,481,64478,0
218.57.176.109,129.111.8.57,42517,17585,UDP,47.53,17,23264,1
216.212.44.38,189.206.199.57,41091,24020,UDP,56.61,970,51529,0
236.251.253.42,28.152.210.253,22827,9008,ICMP,29.86,736,65682,0
239.130.70.230,84.134.176.163,63494,21691,TCP,54.45,264,14457,1
94.189.77.24,255.194.82.137,22527,56836,ICMP,36.4,11,88415,1
160.68.76.23,252.107.45.203,50538,18954,TCP,39.97,552,13219,0
150.10.178.152,245.234.128.147,45188,46956,TCP,21.95,503,34833,0
27.165.244.161,93.99.99.92,44260,49221,TCP,14.25,622,7221,1
66.126.63.15,117.56.136.165,41424,38736,UDP,57.87,291,24307,0
89.220.141.111,200.187.217.219,36107,35416,TCP,51.26,859,23938,0
170.244.95.249,150.194.7.248,50724,29905,TCP,50.59,532,46462,0
12.151.174.51,145.198.36.196,62033,31009,UDP,30.31,52,1552,1
249.65.14.142,221.203.180.215,54612,56634,UDP,29.38,238,40851,1
93.222.58.37,2.187.58.176,9552,53051,UDP,26.37,642,84884,1
195.136.189.154,134.12.211.79,18503,2219,UDP,43.28,233,96058,1
249.79.233.116,191.75.121.18,57722,50548,UDP,23.67,24,15458,0
128.135.58.138,220.100.10.216,21224,15939,ICMP,47.87,892,92611,1
87.158.145.146,162.45.198.154,28926,31943,ICMP,5.53,179,76105,0
45.32.65.154,21.121.98.213,5135,12993,UDP,29.51,710,73857,0
129.79.187.223,213.75.26.60,29917,65049,UDP,34.42,172,23573,1
108.112.189.248,120.101.83.108,62348,30756,ICMP,9.19,365,59349,0
107.123.205.160,135.111.104.84,52864,13995,UDP,57.82,85,551,1
19.17.73.186,211.26.19.212,3215,30156,ICMP,51.53,974,30575,0
163.78.196.19,8.149.141.139,25080,18408,UDP,24.78,131,26268,1
167.75.37.61,32.198.154.70,37648,37943,TCP,46.0,838,86822,1
1.110.160.233,9.86.179.125,24357,4203,ICMP,12.7,497,73341,1
2.130.20.246,124.149.11.82,18030,47136,UDP,26.68,404,46454,1
242.115.235.244,157.19.149.122,12968,375,UDP,13.63,404,92359,1
217.47.208.21,166.75.115.210,44311,52648,TCP,55.37,756,13229,0
39.206.77.168,180.175.61.69,1935,49510,TCP,29.24,619,40470,1
87.1.83.83,46.225.16.7,11155,31719,TCP,49.26,996,88394,0
38.50.188.167,4.188.231.45,59225,10726,UDP,31.4,920,9841,1
1.174.198.84,220.110.24.188,33233,48817,UDP,39.57,377,72334,1
232.89.175.66,221.242.20.185,26885,63577,TCP,40.98,449,18594,0
82.65.147.195,244.199.112.65,10945,28558,ICMP,41.51,38,22700,0
20.30.226.76,177.42.23.87,16279,40439,UDP,43.03,63,3783,0
202.203.120.79,230.4.10.205,5655,48928,ICMP,43.17,128,98771,1
214.55.120.167,108.11.90.143,43528,14956,ICMP,45.94,246,66519,0
136.198.94.70,5.204.232.189,467,15581,ICMP,30.15,725,3450,0
185.70.162.248,12.229.53.129,41186,28406,TCP,27.13,306,51402,0
101.30.16.175,193.245.254.195,30215,20764,UDP,37.86,208,19195,1
75.247.111.208,51.183.192.180,12904,36662,ICMP,21.35,770,51570,1
219.236.181.120,215.81.247.119,55338,62879,TCP,58.73,125,32221,0
72.51.232.197,158.160.10.111,38451,1380,ICMP,20.18,978,59148,0
86.226.196.57,235.135.158.96,21324,46088,ICMP,12.09,673,74385,0
5.16.222.29,86.48.5.176,12061,1596,UDP,18.83,527,74499,1
130.106.226.224,62.127.232.101,9874,11128,TCP,45.85,170,44135,0
141.240.53.6,46.55.219.20,13168,19356,UDP,48.33,960,57410,0
85.37.170.211,97.24.22.100,10462,14227,UDP,48.89,780,61501,1
202.204.139.34,126.218.183.175,38815,39391,ICMP,1.86,609,5831,1
193.235.151.140,43.191.43.20,48232,33872,ICMP,21.04,754,86541,0
32.140.177.159,8.82.71.41,56269,15293,TCP,21.6,792,42923,0
211.28.206.111,235.202.9.114,43439,38973,ICMP,31.13,89,87449,0
198.250.232.182,165.70.7.139,31761,21855,UDP,21.63,205,6098,0
51.233.228.242,186.247.17.205,14163,61632,ICMP,48.69,870,96489,1
128.181.151.146,251.235.213.170,15571,57089,UDP,44.51,505,63949,0
79.58.248.60,209.218.169.173,57815,4514,TCP,15.94,833,69981,1
102.102.135.68,132.99.226.114,41351,41403,ICMP,19.78,684,30520,0
130.194.10.195,122.57.19.203,18991,9643,UDP,15.51,410,40153,0
225.88.228.220,191.64.81.216,23029,37780,UDP,55.79,32,78043,1
169.14.185.169,237.150.7.39,21428,15668,ICMP,2.83,981,65546,1
37.222.112.196,242.101.216.104,46038,64312,UDP,52.7,771,60544,1
245.178.171.70,117.73.227.166,15830,2920,ICMP,1.57,63,59653,0
132.112.69.237,132.84.93.86,32673,7962,UDP,11.83,339,40114,0
81.213.120.55,250.118.229.24,8447,56562,ICMP,58.03,752,48326,0
102.19.115.64,181.245.8.89,22820,11540,ICMP,22.82,456,3293,0
194.214.245.253,210.233.180.14,31978,41099,ICMP,35.39,184,71882,0
107.128.5.189,147.177.193.153,58934,11301,ICMP,1.0,251,27865,0
246.42.178.224,48.98.85.140,43492,45581,UDP,40.48,151,87853,0
214.36.248.33,42.52.51.12,7684,22628,ICMP,28.0,814,53194,1
95.95.182.126,163.170.44.16,27299,36740,UDP,39.6,160,69413,0
160.167.9.29,199.17.166.247,61861,28101,ICMP,14.09,372,85317,1
112.91.131.135,81.150.157.123,22435,58057,UDP,51.7,570,23241,1
212.215.10.127,178.66.56.173,7885,44190,TCP,46.21,502,99424,1
4.223.23.248,249.120.172.40,48026,11463,TCP,1.57,891,17533,1
198.48.232.230,255.189.128.35,7256,15087,UDP,8.93,568,20151,0
161.162.220.226,255.190.1.68,49320,29900,ICMP,54.83,738,34090,1
42.91.34.88,74.65.60.234,20270,55798,UDP,41.24,620,2291,1
182.161.173.195,204.65.136.178,43408,20785,ICMP,19.22,707,15417,1
76.31.48.244,204.237.142.193,2210,15204,ICMP,38.04,806,58631,1
137.74.74.30,205.202.167.227,9164,56537,UDP,30.78,495,15533,1
187.44.120.69,51.170.145.52,31857,63238,ICMP,27.48,476,56402,0
70.191.155.124,92.216.171.213,28707,31737,UDP,1.33,228,97654,1
43.92.158.182,78.185.255.143,45826,4898,TCP,3.38,961,72678,0
28.147.191.86,32.11.100.70,48984,33473,TCP,42.97,510,42505,0
36.141.86.122,218.169.168.152,31910,32388,UDP,36.74,666,25539,1
89.219.159.139,93.202.204.253,785,9477,TCP,27.87,461,26194,0
168.99.249.54,213.233.142.73,34367,29428,TCP,10.0,15,30379,0
176.244.219.47,197.198.27.92,22070,63264,UDP,19.77,151,99853,0
254.27.225.153,187.255.243.141,42964,42520,TCP,37.16,547,65082,1
183.216.88.141,199.192.226.102,5976,61909,UDP,29.84,298,63536,1
177.90.214.234,252.230.243.166,11201,59353,ICMP,17.66,524,60171,0
4.230.80.153,172.149.177.170,1947,33919,UDP,35.44,276,58384,1
47.214.132.250,155.6.140.198,54768,43236,ICMP,27.73,49,2190,0
236.136.51.236,146.138.193.73,1661,8188,TCP,42.87,178,12521,0
92.185.116.107,135.204.225.170,33525,29549,TCP,18.51,270,23532,0
197.126.16.54,87.247.153.68,8329,31212,UDP,6.24,624,35730,1
57.47.74.223,81.3.21.32,30993,8231,ICMP,51.66,190,83038,0
179.209.145.166,76.116.109.180,38342,4974,UDP,55.88,848,99140,0
34.176.43.84,198.18.70.37,15300,40186,TCP,22.63,960,32917,0
74.215.50.206,177.52.3.114,15257,27450,TCP,24.42,618,76433,0
213.69.150.239,171.181.81.145,23332,45491,ICMP,42.98,585,78382,0
127.137.5.215,90.254.119.69,37201,49169,ICMP,25.14,208,69447,1
103.80.180.179,43.214.101.250,65391,3598,ICMP,59.35,854,67386,0
236.25.209.205,151.82.42.245,161,24925,TCP,11.76,198,60775,0
195.254.247.84,71.165.17.9,11218,56861,TCP,7.07,275,14704,1
123.165.244.8,210.238.51.144,12372,13219,ICMP,18.14,764,66454,0
138.119.254.164,194.171.221.97,17338,63719,TCP,50.85,720,48771,1
79.43.20.172,57.51.7.166,55552,9869,ICMP,44.43,288,14393,0
148.11.28.14,166.255.226.207,57363,40917,TCP,23.65,921,813,0
77.142.47.216,10.199.63.184,13540,35318,TCP,13.62,79,38203,1
145.38.112.148,48.218.217.100,58033,63825,UDP,3.93,130,44556,0
83.244.242.37,172.75.86.179,59888,56340,UDP,52.2,659,70159,1
32.96.213.181,6.238.51.215,57913,12451,TCP,48.92,362,38354,0
60.189.37.57,97.34.64.192,55800,22208,ICMP,0.46,937,80462,1
69.190.122.26,119.186.66.50,41358,44956,TCP,14.06,686,39966,1
61.246.144.71,155.203.74.83,50046,28166,ICMP,34.94,771,84941,1
31.158.171.152,75.165.47.189,23907,8798,TCP,56.34,115,58935,1
66.99.93.55,176.238.77.157,61813,41707,TCP,2.17,981,74229,1
122.83.211.136,220.197.212.228,39913,35148,TCP,3.22,473,63386,1
106.155.64.116,155.200.9.238,17281,38803,TCP,41.09,692,38066,0
163.129.138.126,13.85.188.11,52283,26954,UDP,33.11,558,56489,0
127.141.39.121,81.69.66.144,63401,48584,TCP,43.43,986,59815,0
111.89.93.163,15.92.187.26,3123,26502,ICMP,45.42,611,16563,0
173.79.139.134,197.93.240.176,14230,8667,TCP,27.54,157,18726,1
28.138.9.143,238.10.217.86,18606,60,TCP,57.54,97,52139,0
235.116.22.253,38.238.24.229,24168,60217,TCP,38.48,924,59022,1
74.236.162.55,123.110.4.124,5633,47184,ICMP,5.3,215,24576,1
100.91.232.119,97.18.188.28,28965,49855,UDP,42.65,759,49865,0
10.204.160.114,191.50.47.54,40305,61038,TCP,15.97,315,69496,0
249.12.254.115,240.25.140.161,30401,34093,TCP,54.03,527,63747,0
42.48.209.78,51.68.1.56,19742,13730,UDP,33.88,703,16736,1
206.93.188.108,148.49.185.106,45805,31437,ICMP,10.8,1,14867,0
98.38.131.224,130.230.230.168,1126,59311,UDP,4.33,640,54776,0
83.36.138.89,9.54.78.112,26423,18020,ICMP,46.04,422,17887,0
94.63.238.139,228.178.101.176,6884,22763,UDP,15.64,867,41230,0
244.115.156.231,128.243.42.222,60468,35634,ICMP,50.93,612,10926,1
60.175.91.144,148.198.88.142,6097,6578,ICMP,54.48,183,54932,1
150.186.97.27,190.241.187.13,35306,45901,UDP,0.31,451,36314,1
69.10.101.98,246.144.147.197,757,25010,TCP,45.4,991,16373,0
78.195.173.103,170.249.72.157,46046,61040,ICMP,37.16,356,19399,1
253.248.234.46,93.12.26.92,9058,40530,ICMP,45.98,525,1225,1
153.201.161.46,157.186.124.190,11977,44814,ICMP,35.11,493,63968,1
215.115.205.240,64.114.20.227,51022,8427,ICMP,6.45,766,57750,0
233.58.167.190,111.12.83.147,30990,54360,TCP,42.18,396,18721,1
241.117.93.110,66.79.31.110,4542,42637,TCP,19.62,756,99881,1
137.247.214.158,40.172.235.251,56347,46490,UDP,33.36,604,4887,0
11.179.109.212,88.145.252.78,47805,9424,UDP,46.0,481,96664,1
81.31.50.82,241.226.41.65,14310,13869,UDP,20.72,259,87202,0
197.88.199.202,135.196.23.23,56260,13751,ICMP,36.76,131,47969,0
194.95.129.10,198.205.242.200,60897,22324,ICMP,2.45,386,88621,1
31.89.63.168,49.224.134.117,29667,60792,TCP,7.8,57,91298,0
71.202.167.64,15.93.255.110,20065,61614,TCP,39.9,39,88182,1
89.48.187.203,85.123.233.136,19455,18801,ICMP,2.79,900,24228,0
52.37.144.117,178.47.99.246,18319,63632,ICMP,57.58,311,76696,1
45.249.191.81,178.55.168.123,51423,27733,ICMP,21.98,865,11538,0
84.150.100.239,143.211.117.183,2416,33120,ICMP,21.91,528,71127,1
44.25.182.162,128.126.86.52,42300,12097,TCP,44.89,868,33022,0
201.23.227.207,81.39.23.96,37764,26828,TCP,2.54,833,82616,0
169.105.1.114,30.224.126.144,7598,39629,ICMP,22.34,814,68272,1
201.61.190.190,220.107.201.13,21056,7271,ICMP,59.31,731,44336,1
86.235.36.194,131.168.135.165,49684,25896,UDP,41.45,842,61398,0
41.154.113.120,15.206.20.172,35179,44195,UDP,20.32,171,12539,1
84.151.222.164,203.192.114.186,35741,24727,UDP,59.91,259,42766,0
102.90.152.49,189.7.70.81,39360,64395,TCP,14.58,334,96063,0
119.121.244.102,98.78.135.72,21272,39311,ICMP,58.23,326,21084,0
100.178.40.79,188.240.1.167,41292,13484,ICMP,50.9,794,58653,0
187.120.245.29,210.88.29.82,64291,39527,ICMP,45.63,618,39843,1
109.44.168.84,133.230.237.143,39393,21496,TCP,30.9,704,4381,0
176.108.126.28,214.21.185.83,32440,23209,UDP,54.69,682,71181,0
120.213.21.3,52.201.246.73,8585,28856,TCP,28.91,279,46962,1
55.148.96.219,61.7.161.136,55818,17976,UDP,34.46,596,45197,1
78.22.42.27,58.107.120.112,28906,4015,UDP,48.78,856,92289,0
70.17.63.142,228.44.163.178,9464,24101,UDP,42.35,65,93375,0
119.19.143.232,181.45.246.241,37175,3069,UDP,34.72,364,17481,0
222.17.54.142,153.209.226.6,44654,60623,ICMP,51.95,617,33116,0
6.156.194.229,156.180.253.19,14739,41442,TCP,4.64,562,34806,0
136.124.151.70,214.61.47.22,16447,35639,TCP,47.86,419,7087,1
211.165.248.106,64.225.35.75,21406,17526,UDP,25.89,131,23086,1
221.138.83.234,49.19.242.182,58875,4082,UDP,44.51,642,15919,1
217.120.117.181,207.78.32.121,41045,56075,ICMP,33.33,985,77945,0
75.139.107.51,248.81.190.2,61588,50343,TCP,13.07,693,39778,1
182.252.161.122,144.32.75.80,10095,40564,TCP,13.43,580,15790,1
244.5.106.75,210.237.193.199,60952,51110,TCP,50.11,962,60679,1
144.90.4.19,195.103.64.155,7637,4818,TCP,53.45,620,46782,0
16.35.156.217,95.128.52.13,59709,26265,ICMP,46.61,55,60465,0
241.19.185.230,25.4.253.221,44091,21355,TCP,56.17,987,6698,1
111.237.40.190,200.155.252.1,46321,29204,TCP,16.49,515,64840,1
186.13.31.219,80.79.7.245,33256,37960,ICMP,32.1,748,69642,0
6.8.182.133,141.174.102.5,34322,28167,TCP,11.35,619,64591,0
164.64.204.182,195.208.54.159,32463,47939,UDP,24.95,37,77516,0
196.71.193.211,140.183.7.147,7799,18817,TCP,27.49,326,44998,1
229.72.112.179,190.225.237.85,36291,40749,UDP,3.56,342,42464,0
141.254.239.143,57.99.83.223,47619,49902,ICMP,14.5,27,5836,0
6.143.96.5,122.251.85.85,49056,43289,UDP,14.71,384,36612,0
18.52.192.176,21.245.174.174,62840,11802,ICMP,42.51,123,39759,0
231.74.142.160,210.89.163.213,2703,28630,TCP,41.53,983,47308,1
121.225.37.194,31.110.26.210,44183,49549,UDP,21.73,340,99054,0
210.54.125.11,65.233.25.35,22044,1605,TCP,11.29,283,87647,0
121.235.161.17,104.19.175.220,36635,63554,ICMP,16.68,306,83705,0
214.203.208.90,50.1.76.37,55261,15620,ICMP,35.65,523,8657,0
105.10.51.77,112.144.175.173,23714,62970,TCP,48.43,506,37477,1
112.74.37.254,207.9.109.33,12445,25927,UDP,7.0,5,24307,1
101.164.228.45,182.25.160.150,15508,6850,TCP,14.43,43,59151,1
46.240.64.38,212.246.183.139,52604,18653,UDP,28.39,371,77776,1
55.85.86.207,211.146.12.178,39506,21369,ICMP,43.15,569,78739,1
94.178.188.218,186.173.116.38,257,12701,UDP,0.83,965,66096,0
253.233.120.199,205.159.42.39,25551,8801,UDP,44.55,355,41270,1
211.248.206.49,82.127.225.110,12325,3034,TCP,18.65,458,7190,0
212.204.51.27,98.226.134.129,37255,22651,UDP,7.81,435,75972,0
118.86.247.178,214.174.159.185,18703,3788,TCP,7.74,16,98648,0
42.185.164.251,110.19.22.108,7101,42292,ICMP,29.43,266,2035,1
86.183.250.103,209.7.83.145,42783,42594,ICMP,12.75,73,99522,1
152.116.105.190,14.55.40.235,17338,48225,TCP,55.81,653,3299,0
56.211.62.121,152.66.79.250,27033,26200,TCP,30.65,483,30787,1
107.162.4.240,32.145.146.246,39917,28718,ICMP,9.57,167,27025,0
207.189.40.216,66.85.211.106,23647,4417,TCP,49.28,149,71586,0
30.157.114.222,123.217.162.243,26940,50041,ICMP,36.08,461,1515,1
216.83.144.199,157.122.232.212,15118,52063,UDP,18.49,707,67372,0
220.164.193.209,162.237.72.101,63107,5622,TCP,59.82,474,87570,1
162.99.115.162,161.255.173.255,51277,31183,ICMP,35.76,386,42960,0
51.139.133.139,159.142.195.182,13917,46255,TCP,55.8,470,24238,0
90.216.247.245,58.108.115.142,9698,20954,TCP,58.62,736,34179,1
88.223.22.217,86.225.137.100,62858,56593,ICMP,9.27,699,13127,0
6.48.216.153,78.10.116.126,49809,30866,ICMP,27.59,596,57683,1
164.128.186.137,190.103.96.73,58719,8941,UDP,57.63,835,28659,1
219.135.234.146,46.41.99.121,19722,4441,UDP,13.82,841,17859,0
235.175.10.63,44.105.232.62,29787,31977,UDP,50.7,497,6812,0
216.162.149.119,235.31.97.172,38590,38210,UDP,37.53,660,15531,0
88.138.2.103,62.99.74.157,63706,46014,TCP,28.48,541,26757,1
229.88.150.179,81.236.218.166,35484,47796,ICMP,26.2,131,54428,1
40.99.28.11,237.191.246.229,7450,8834,UDP,22.26,101,17002,0
60.17.117.40,166.118.131.199,50045,21617,UDP,37.92,8,74794,1
81.88.177.193,54.217.230.177,41888,36395,UDP,21.74,148,79909,0
22.49.8.13,224.159.30.128,24161,2464,ICMP,58.94,505,14362,1
189.5.59.38,51.6.158.32,51029,11852,UDP,57.8,365,4009,0
194.28.154.32,130.26.78.11,55732,12493,UDP,47.43,347,35426,1
24.78.63.184,223.19.225.3,23492,48946,ICMP,38.77,526,42920,0
182.8.7.252,183.97.76.112,52609,29150,TCP,37.07,651,13350,1
167.152.162.82,197.50.60.224,13407,9747,TCP,1.64,672,23340,0
149.69.21.127,201.10.18.96,13433,59709,ICMP,36.49,127,31197,0
174.225.41.104,195.219.68.62,39868,58205,UDP,36.42,390,21260,0
30.2.248.194,133.68.155.124,14530,31773,UDP,29.72,743,32309,0
108.34.38.182,34.19.5.220,21753,39698,TCP,29.52,290,15760,1
234.105.240.240,207.140.54.177,43447,58850,UDP,39.51,53,61153,1
65.115.60.151,246.192.221.112,39051,9631,ICMP,59.2,751,66215,0
151.46.227.90,220.161.17.49,8464,64425,UDP,44.4,382,70594,0
185.46.3.55,161.100.79.91,15260,65012,UDP,2.8,296,5485,0
23.39.239.125,35.143.221.162,24713,40938,TCP,45.31,816,78886,0
9.241.130.125,159.50.254.244,55590,31196,TCP,39.59,475,37219,0
243.151.160.118,15.139.119.72,42016,11877,ICMP,31.32,429,84405,0
99.12.241.211,172.79.18.80,56387,62429,UDP,17.41,374,38395,1
8.93.28.22,249.137.219.201,11435,121,TCP,27.82,803,34492,0
192.17.244.252,44.62.180.76,39975,34670,UDP,44.65,155,15802,1
48.157.183.184,154.94.100.223,635,56373,UDP,45.44,567,45174,0
211.168.26.61,230.162.188.163,54161,50613,UDP,4.52,619,88671,0
7.222.52.218,128.95.205.138,60885,36627,TCP,5.24,198,98464,1
184.61.231.148,239.253.81.143,37612,45651,UDP,11.67,653,36890,0
255.216.211.154,33.9.144.157,23844,45219,UDP,54.44,957,26063,1
48.14.64.58,120.184.22.210,49179,47823,UDP,12.64,937,81383,1
246.206.64.130,124.58.242.166,3889,59277,TCP,12.26,107,81866,1
67.1.141.220,230.187.149.248,11716,62584,ICMP,5.44,123,13079,1
145.232.198.193,19.69.144.82,50869,35609,UDP,52.68,433,84492,0
45.23.69.27,30.220.246.135,10954,17338,TCP,10.1,887,80288,1
241.144.150.144,220.178.50.216,9473,27828,TCP,23.44,180,82448,0
109.87.232.23,40.197.110.189,43573,46963,UDP,43.09,807,93685,0
140.212.95.32,88.84.209.38,64736,13289,UDP,0.54,367,98843,0
246.15.197.81,6.155.5.26,3828,19271,ICMP,48.43,132,76691,0
121.81.124.164,226.237.245.130,50919,321,ICMP,45.53,883,27383,0
87.123.240.172,236.199.146.67,65010,60703,ICMP,50.55,634,6705,1
247.239.106.5,148.252.141.164,14059,6996,UDP,15.6,698,57683,0
93.246.123.76,33.249.78.149,20059,3486,ICMP,50.56,173,42861,0
96.117.159.47,21.80.43.218,38922,18605,UDP,19.0,443,58843,0
123.202.2.92,98.75.72.91,12151,24395,ICMP,19.76,488,94361,0
51.230.83.94,204.72.123.200,28221,46477,ICMP,22.83,864,74428,0
20.70.111.22,93.27.169.162,24234,49122,UDP,2.37,88,99103,0
251.101.101.223,212.72.101.199,21901,2704,UDP,38.89,40,51948,1
65.209.217.194,47.63.109.213,28812,12124,UDP,18.5,362,86421,0
49.221.105.74,37.209.43.216,50352,12373,UDP,58.17,394,37592,1
110.68.128.148,126.110.108.236,20721,5171,TCP,50.49,766,97396,0
197.220.1.208,161.177.211.174,57420,42309,UDP,47.97,318,91546,1
151.158.156.93,158.114.192.204,787,1990,ICMP,7.18,932,92939,0
50.41.170.38,139.62.127.239,44596,36900,UDP,22.19,80,68972,0
5.143.22.151,139.144.150.211,53802,49238,TCP,31.56,521,14221,0
242.97.153.172,146.216.198.120,19125,29643,UDP,41.22,280,84717,1
123.69.47.225,151.144.111.213,2516,48223,UDP,18.25,829,51533,0
89.96.251.84,162.121.24.26,29058,20553,TCP,59.42,532,52373,1
179.145.42.231,158.136.95.9,54066,20439,UDP,49.34,286,9974,1
147.163.146.194,116.76.52.211,1007,39574,UDP,48.36,817,55503,0
86.176.133.195,74.104.64.228,2789,55941,TCP,37.26,860,82267,0
72.200.232.195,240.237.58.38,12087,1306,ICMP,42.38,687,60521,0
73.66.9.98,231.166.29.33,17423,63358,TCP,57.95,906,59530,0
206.62.93.127,5.163.65.181,34629,1962,UDP,43.66,692,91166,0
100.72.4.58,171.39.69.148,46011,19378,UDP,20.52,841,21355,1
40.182.89.180,189.63.90.205,51075,32109,ICMP,24.63,874,59830,1
154.30.195.83,71.32.116.226,39966,59520,ICMP,8.62,305,57032,1
219.221.194.211,39.213.72.70,23877,3735,TCP,55.14,981,50952,1
164.10.74.91,135.178.54.229,6725,8710,UDP,28.8,341,73999,0
99.229.52.206,12.185.10.84,45071,23893,TCP,6.41,991,49950,1
215.82.131.132,111.176.214.209,54117,16991,ICMP,43.92,78,17938,0
81.83.137.33,117.190.55.211,29514,55479,ICMP,0.11,443,47075,1
139.221.95.180,249.144.250.52,49659,9794,ICMP,29.17,613,15401,1
220.116.126.23,13.74.147.201,31101,15006,UDP,27.34,113,76488,1
181.164.43.170,57.29.62.22,63404,55409,ICMP,36.67,167,54973,0
158.254.38.104,205.97.108.188,1653,13333,ICMP,30.97,204,9037,0
165.188.75.47,201.122.45.149,35845,57926,ICMP,3.14,234,86090,0
28.26.221.156,99.30.125.109,5198,63221,ICMP,56.53,701,91491,1
100.78.203.18,124.86.76.31,8226,24136,ICMP,10.14,972,8291,1
162.91.195.97,149.70.44.226,12451,45747,UDP,29.99,976,10020,1
196.61.77.154,182.92.56.61,57401,32106,TCP,29.9,318,74845,0
252.20.199.2,174.36.158.216,51538,39028,TCP,19.65,13,67089,0
148.175.60.232,70.177.144.171,8927,64689,UDP,59.03,326,82826,0
226.41.215.110,242.100.50.147,51282,64494,ICMP,0.68,583,93151,0
2.222.236.21,176.190.144.104,51245,36561,ICMP,3.88,219,23660,1
63.143.7.10,246.144.123.154,2052,34479,UDP,22.89,762,90932,1
116.243.73.14,218.69.206.43,14681,32737,UDP,23.38,949,48592,1
187.206.121.148,26.30.137.133,20534,36909,ICMP,29.72,767,53888,1
197.125.214.227,230.150.52.197,33938,11308,TCP,23.87,900,44981,1
232.239.56.93,178.211.218.209,47309,36569,TCP,39.13,969,34394,1
246.136.92.61,44.31.196.218,13308,4098,ICMP,20.13,546,13156,0
133.24.177.130,123.44.209.17,32538,31218,TCP,29.45,608,74796,0
150.42.209.119,235.193.64.75,784,41333,UDP,58.88,701,53952,0
119.241.136.213,50.180.168.28,50779,1309,UDP,36.89,987,54122,0
158.179.72.35,242.247.227.15,12769,921,ICMP,4.44,547,89950,0
43.146.175.222,34.140.170.231,51764,57938,UDP,2.58,281,88999,0
92.143.160.98,19.92.46.29,46656,20335,TCP,50.2,926,75439,1
49.108.193.188,113.104.56.210,57017,30046,ICMP,29.36,73,43058,1
172.164.54.183,47.184.126.240,57356,53022,TCP,41.5,917,31430,0
157.189.234.4,64.164.244.215,2628,27065,UDP,57.87,7,77036,0
215.85.127.230,240.140.30.141,30403,540,ICMP,44.92,2,16066,1
10.56.183.195,119.41.248.61,57535,26202,TCP,45.34,947,66219,0
40.210.146.123,177.118.86.12,9461,50478,ICMP,13.68,263,10080,1
232.197.110.138,86.217.154.179,40256,33533,TCP,31.97,106,50857,0
172.168.85.234,18.62.179.245,36210,57668,UDP,20.62,630,70799,0
178.15.79.76,17.101.126.251,9325,15147,ICMP,49.24,830,39241,1
216.102.85.216,58.123.5.32,10858,37168,ICMP,36.01,166,21721,0
223.131.157.93,83.242.85.64,14404,61299,UDP,15.96,974,79584,1
100.187.29.169,136.217.101.252,5599,6821,ICMP,21.28,837,38304,1
240.56.61.16,129.165.128.94,48373,14554,TCP,2.17,219,8354,0
236.129.207.24,136.142.173.62,26113,47433,TCP,23.11,972,30004,0
141.111.102.150,208.101.213.150,3561,53394,ICMP,38.8,640,13322,0
19.59.35.88,176.202.239.133,14388,60189,TCP,2.58,14,79904,0
166.94.75.141,1.15.245.118,48747,2049,TCP,22.0,797,82537,1
110.147.43.149,67.238.217.13,31200,909,ICMP,48.29,350,37306,0
217.85.11.68,20.114.30.156,43736,19971,ICMP,59.14,869,14193,0
83.118.152.18,42.186.106.179,53961,39544,ICMP,34.47,978,84062,1
231.131.151.136,49.88.174.75,21343,64243,TCP,2.1,549,7575,1
125.195.85.84,18.195.50.86,36157,9333,UDP,39.72,699,41170,1
4.23.118.170,55.203.40.52,20589,61087,ICMP,47.17,915,80283,0
133.136.102.86,115.159.239.79,26727,32974,TCP,48.39,724,55316,0
118.106.157.246,32.219.176.11,2942,33928,UDP,43.97,967,76769,1
221.116.107.21,242.74.221.233,34673,39793,UDP,42.39,922,46652,0
161.250.210.27,108.122.74.71,51499,27404,UDP,8.36,35,66280,1
65.31.35.250,78.62.195.254,18528,1997,ICMP,25.93,561,67558,0
165.117.5.227,207.173.74.119,49061,46564,UDP,57.84,929,45123,1
5.218.180.201,233.73.164.5,8133,48508,ICMP,25.0,865,52668,0
56.252.249.151,58.73.30.59,23950,14944,UDP,44.27,757,89930,0
71.198.83.74,45.29.238.199,9696,2707,ICMP,17.24,110,38107,1
219.192.216.30,202.20.125.25,57530,12538,ICMP,55.35,896,48698,0
116.148.220.21,206.66.95.138,19038,29449,TCP,22.69,552,40320,0
47.39.226.5,1.122.160.84,29787,1300,UDP,51.17,490,66854,1
222.118.200.238,10.205.114.228,26902,45072,UDP,19.6,637,45091,1
176.125.142.150,53.121.68.85,46825,57933,UDP,46.36,664,59103,0
123.55.218.44,191.224.134.179,58611,11172,UDP,32.68,822,33482,0
205.4.173.23,173.197.45.152,2397,25153,UDP,23.34,128,71184,1
90.185.221.172,147.106.159.237,37578,53158,TCP,9.16,663,33865,1
22.253.105.72,244.71.170.101,38555,16435,TCP,40.65,331,66250,0
131.18.255.180,68.93.81.191,56727,20976,TCP,18.43,112,12327,1
153.233.141.131,17.175.194.136,52926,6228,ICMP,38.02,490,18035,1
